breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,28.034885420903855,42.78621932718951,19.827130780685923,15.277176843108561,19.002133630370196,16.777898927076212,Toy Group,0.21960111148927375,Daily Brushing,0.3225929497117421,Occasional,0.8820547305744114,Energetic,0.012976631842810282,Agreeable,0.06216112672229934,Friendly
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,29.256771191636098,40.784591739862634,21.327259852721262,16.822701232735028,18.083102092314192,20.659939127653757,Toy Group,0.5227271545883002,Occasional Bath/Brush,0.28970165723577745,Infrequent,0.9100236475791758,Calm,0.14851157430292106,Agreeable,0.24770158709821466,Aloof/Wary
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,36.85183075284207,36.99180765069485,7.493890486426272,9.802001451542974,20.247801401704635,17.159278815875776,Toy Group,0.4106366311588505,Daily Brushing,0.2806408121548365,Frequent,0.5841318052847305,Couch Potato,0.8716824280962707,May be Stubborn,0.14289781360947007,Alert/Responsive
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,23.39887013134879,38.46070646185863,21.404649525909413,15.504654295699906,15.924248425595586,15.364899899206565,Toy Group,0.8906169591384298,Daily Brushing,0.44578478528885324,Regularly,0.7155848667801599,Calm,0.20115015622259236,Eager to Please,0.6156363088782647,Friendly
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,36.127292905771505,38.764251274022975,9.979959778397061,16.743985672021502,20.341976521061483,16.823085137583213,Toy Group,0.42804721631048326,Weekly Brushing,0.7886088622776287,Infrequent,0.55162440694729,Needs Lots of Activity,0.3462774930350261,Easy Training,0.18572792097782653,Aloof/Wary
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,35.39637005151121,35.31861168646573,21.213491036556583,23.756316733126173,18.404421931947233,18.04561374337544,Toy Group,0.3612505744617903,Occasional Bath/Brush,0.7567680707861039,Seasonal,0.9003686265024867,Needs Lots of Activity,0.04383964250842831,Independent,0.287873129145803,Reserved with Strangers
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,25.031957351691066,33.61200171126221,17.947351757315932,23.59520826351124,19.757000532209013,21.991106883679187,Toy Group,0.5314226171227173,Occasional Bath/Brush,0.15423098269272806,Infrequent,0.3895693753040782,Couch Potato,0.7396507704491386,Independent,0.9991392251392892,Alert/Responsive
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,40.216898538615126,29.971422271900863,9.390006064741607,15.04654360803106,12.316754197914747,17.73388474935316,Toy Group,0.13832529626030876,Daily Brushing,0.148761476103901,Seasonal,0.03047072667750106,Needs Lots of Activity,0.26057224764727627,Eager to Please,0.42494048656614103,Reserved with Strangers
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,26.09422308999823,37.515246793863014,5.0734965546680115,16.230489857623056,17.812283132697246,22.61359085942032,Toy Group,0.7783142491969817,Specialty/Professional,0.2994429813301983,Infrequent,0.4997434950984021,Regular Exercise,0.7325823511759392,Easy Training,0.5153365605882457,Reserved with Strangers
Affenpinscher,"The Affen’s apish look has been described many ways. They’ve been called “monkey dogs” and “ape terriers.” The French say diablotin moustachu (“mustached little devil”), and Star Wars fans argue whether they look more like Wookies or Ewoks.Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “This isn’t a breed you train,” a professional dog handler tells us, “He’s like a human. You befriend him.” The dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs. The Affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it’s the Affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,42.07451565484198,41.35782252161202,6.473149737798345,21.085240900967392,16.86195241277199,23.584041064684904,Toy Group,0.9618397065576307,2-3 Times a Week Brushing,0.9934801877265474,Frequent,0.9377771506205439,Needs Lots of Activity,0.3529733889829645,Easy Training,0.2983449175259443,Outgoing
